Statut CE,Statut FR,Appellation,Dénomination,Produit,Catégorie générale,Sous Catégorie,Couleur,Sucrosité,Mention,Code INAO,url site
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Châtaigne des Cévennes Châtaigne des Cévennes,Châtaigne des Cévennes,Châtaigne des Cévennes,Fruits légumes et céréales en l'état ou transformés,Fruit à coque,,,,,http://www.inao.gouv.fr/produit/17325
IGP - Indication géographique protégée,,Volailles de Licques,Volailles de Licques,Volailles de Licques,Viandes (et abats) frais,Volaille,,,,,http://www.inao.gouv.fr/produit/17293
IGP - Indication géographique protégée,,Saint-Marcellin,Saint-Marcellin,Saint-Marcellin,Fromages,Pâte molle et croûte fleurie,,,,,http://www.inao.gouv.fr/produit/17274
IG - Indication géographique,AOC - Appellation d'origine contrôlée,Cognac ou Eau-de-vie de Cognac ou Eau-de-vie des Charentes,Cognac Petite Champagne ou Petite Fine Champagne,Cognac Petite Champagne ou Petite Fine Champagne,Eaux-de-vie de vin et de marc,Eaux-de-vie de vin,Ambré,,,1B608E,http://www.inao.gouv.fr/produit/17241
IG - Indication géographique,AOC - Appellation d'origine contrôlée,Cognac ou Eau-de-vie de Cognac ou Eau-de-vie des Charentes,Cognac ou Eau-de-vie de Cognac ou Eau-de-vie des Charentes,Cognac ou Eau-de-vie de Cognac ou Eau-de-vie des Charentes,Eaux-de-vie de vin et de marc,Eaux-de-vie de vin,Ambré,,,1B601E,http://www.inao.gouv.fr/produit/17240
IG - Indication géographique,AOC - Appellation d'origine contrôlée,Cognac ou Eau-de-vie de Cognac ou Eau-de-vie des Charentes,Cognac Grande Champagne ou Grande Fine Champagne,Cognac Grande Champagne ou Grande Fine Champagne,Eaux-de-vie de vin et de marc,Eaux-de-vie de vin,Ambré,,,1B607E,http://www.inao.gouv.fr/produit/17239
IG - Indication géographique,AOC - Appellation d'origine contrôlée,Cognac ou Eau-de-vie de Cognac ou Eau-de-vie des Charentes,Cognac Fins Bois,Cognac Fins Bois,Eaux-de-vie de vin et de marc,Eaux-de-vie de vin,Ambré,,,1B606E,http://www.inao.gouv.fr/produit/17238
IG - Indication géographique,AOC - Appellation d'origine contrôlée,Cognac ou Eau-de-vie de Cognac ou Eau-de-vie des Charentes,Cognac Fine Champagne,Cognac Fine Champagne,Eaux-de-vie de vin et de marc,Eaux-de-vie de vin,Ambré,,,1B605E,http://www.inao.gouv.fr/produit/17237
IG - Indication géographique,AOC - Appellation d'origine contrôlée,Cognac ou Eau-de-vie de Cognac ou Eau-de-vie des Charentes,Cognac Borderies,Cognac Borderies,Eaux-de-vie de vin et de marc,Eaux-de-vie de vin,Ambré,,,1B604E,http://www.inao.gouv.fr/produit/17236
IG - Indication géographique,AOC - Appellation d'origine contrôlée,Cognac ou Eau-de-vie de Cognac ou Eau-de-vie des Charentes,Cognac Bons Bois,Cognac Bons Bois,Eaux-de-vie de vin et de marc,Eaux-de-vie de vin,Ambré,,,1B603E,http://www.inao.gouv.fr/produit/17235
IG - Indication géographique,AOC - Appellation d'origine contrôlée,Cognac ou Eau-de-vie de Cognac ou Eau-de-vie des Charentes,Cognac Bois ordinaires ou Bois à terroirs,Cognac Bois ordinaires ou Bois à terroirs,Eaux-de-vie de vin et de marc,Eaux-de-vie de vin,Ambré,,,1B602E,http://www.inao.gouv.fr/produit/17234
,AOC - Appellation d'origine contrôlée,Poulet du Bourbonnais,Poulet du Bourbonnais,Poulet du Bourbonnais,Viandes (et abats) frais,Volaille,,,,,http://www.inao.gouv.fr/produit/17116
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Barèges-Gavarnie,Barèges-Gavarnie,Barèges-Gavarnie,Viandes (et abats) frais,Ovin,,,,,http://www.inao.gouv.fr/produit/17045
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Taureau de Camargue,Taureau de Camargue,Taureau de Camargue,Viandes (et abats) frais,Bovin,,,,,http://www.inao.gouv.fr/produit/17044
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Roquefort,Roquefort,Roquefort,Fromages,Pâte persillée,,,,,http://www.inao.gouv.fr/produit/17002
IGP - Indication géographique protégée,,Bulot de la Baie de Granville,Bulot de la Baie de Granville,Bulot de la Baie de Granville,Poissons mollusques crustacés frais et produits dérivés,Mollusque,,,,,http://www.inao.gouv.fr/produit/17001
